id,metin,etiket,kategori,metin_temiz
24,"Size özel kampanya başladı, hemen alışverişe başlayın",spam,reklam,siz özel kampanya başladı heme alışveriş başlay
25,"Büyük indirim fırsatı, şimdi satın alın",spam,reklam,büyük indir fırsat ş sat al
26,Hesabınıza giriş yapmak için aşağıdaki bağlantıyı kullanın,spam,kimlik avı,hesap giriş yapmak aşağı bağlantı kulla
27,"Şifrenizi yenilemeniz gerekiyor, aksi halde erişim kısıtlanacaktır",spam,kimlik avı,şifre yenileme gerekiyor aksi halde eriş kısıtlanacak
28,Güvenliğiniz için bilgilerinizi doğrulamanız gerekmektedir,spam,kimlik avı,güvenlik bilgi doğrulama gerekmek
29,"Hesap doğrulama işlemi tamamlanmadı, hemen giriş yapın",spam,kimlik avı,hesap doğrula işle tamamlanmadı heme giriş yap
30,"Kazanan kullanıcılar arasına girdiniz, ödülünüzü almak için giriş yapın",spam,ödül,kazana kullanıcı ara gir ödül almak giriş yap
31,"Hesabınızda olağandışı işlem tespit edildi, hemen kontrol edin",spam,banka,hesap olağandış işle tespit edil heme kontrol edi
32,Size para iadesi yapılacak,spam,banka,siz par iades yapılacak
35,Patronun yardıma ihtiyacı var,spam,iş dolandırıcılığı,patro yardı ihtiyaç var
36,Patronunuz sizden acil ödeme yapmanızı istiyor,spam,kimlik avı,patro siz acil öde yapma istiyor
37,"Sayın çalışanımız, acil olarak hediye kartı satın alın",spam,iş dolandırıcılığı,say çalışan acil hedi kar sat al
38,"Kazanan kullanıcılar arasına girdiniz, hediyenizi almak için bağlantıya tıklayın",spam,ödül,kazana kullanıcı ara gir hediye almak bağlantı tıklay
39,Sürpriz! Adınıza tanımlanan ödülü almak için hesabınıza giriş yapın,spam,ödül,sürpriz ad tanımlana ödül almak hesap giriş yap
40,"Kampanyamız kapsamında size özel hediye kazandınız, detaylar için tıklayın",spam,ödül,kampanya kapsam siz özel hedi kaza detay tıklay
41,"Şanslı kullanıcılar arasındasınız, ödülünüz sizi bekliyor",spam,ödül,şanslı kullanıcı ara ödül siz bekliyor
42,"Tebrikler, ücretsiz ödül kazandınız, hemen teslim almak için işlem yapın",spam,ödül,tebrik ücretsiz ödül kaza heme tesl almak işle yap
43,"Adınıza kayıtlı ödül bulunmaktadır, almak için formu doldurun",spam,ödül,ad kayıtlı ödül bulunmak almak formu doldur
44,"Çekiliş sonucu büyük ödül size çıktı, kaçırmamak için hemen giriş yapın",spam,ödül,çekiliş sonuç büyük ödül siz çık kaçırmamak heme giriş yap
45,"Kazananlar listesinde yer aldınız, hediyenizi almak için doğrulama yapın",spam,ödül,kazanan liste yer al hediye almak doğrula yap
46,"Size özel ödül fırsatı sunuluyor, hemen yararlanmak için giriş yapın",spam,ödül,siz özel ödül fırsat sunuluyor heme yararlanmak giriş yap
47,"Tebrikler! Hediye çeki kazandınız, kullanmak için hesabınıza girin",spam,ödül,tebrik hedi çek kaza kullanmak hesap gir
48,Sistemimizde yapılan değerlendirme sonucu ödül kazandınız,spam,ödül,sistem yapıla değerlendirme sonuç ödül kaza
49,"Sınırlı süreli ödül hakkı kazandınız, hemen talep oluşturun",spam,ödül,sınırlı sürel ödül hakkı kaza heme talep oluştur
50,"Kazandığınız ödül hesabınıza tanımlandı, aktif etmek için tıklayın",spam,ödül,kazandık ödül hesap tanımla aktif etmek tıklay
51,"Hediye kazanma hakkı elde ettiniz, detaylar için giriş yapınız",spam,ödül,hedi kazanma hakkı el et detay giriş yap
52,"Ödülünüz hazır, almak için hemen doğrulama işlemini tamamlayın",spam,ödül,ödül hazır almak heme doğrula işlem tamamlay
53,"Tebrikler! Çekiliş kazananları arasındasınız, ödülünüzü alın",spam,ödül,tebrik çekiliş kazanan ara ödül al
54,Adınıza özel hazırlanan ödülü kaçırmamak için hemen işlem yapın,spam,ödül,ad özel hazırlana ödül kaçırmamak heme işle yap
55,Kazandığınız hediye paketi için teslimat bilgilerinizi girin,spam,ödül,kazandık hedi paket teslimat bilgi gir
56,Adınıza özel hazırlanan hediyeyi kaçırmamak için hemen işlem yapın,spam,ödül,ad özel hazırlana hediye kaçırmamak heme işle yap
57,Kazandığınız ödül için teslimat bilgilerinizi girin,spam,ödül,kazandık ödül teslimat bilgi gir
58,"Tebrikler! 5.000 TL hediye kazandınız, hemen alın. ",spam,ödül,tebrik tl hedi kaza heme al
59,Çekiliş sonucu size özel ödül kazandınız.,spam,ödül,çekiliş sonuç siz özel ödül kaza
60,Hediye kuponunuz hesabınıza tanımlandı.,normal,ödül,hedi kupo hesap tanımla
61,Kazandığınız ödülü almak için tıklayın.,spam,ödül,kazandık ödül almak tıklay
62,Sadakat programı ödülünüz hazır. ,normal,ödül,sadakat progra ödül hazır
64,Size özel sürpriz ödülümüz var. ,spam,ödül,siz özel sürpriz ödül var
66,"iPhone kazandınız, hemen giriş yapın. ",spam,ödül,ipho kaza heme giriş yap
67,Hediye çekiniz aktif edildi. ,normal,ödül,hedi çek aktif edil
68,Büyük ödül sizi bekliyor. ,spam,ödül,büyük ödül siz bekliyor
69,Kazandığınız ödül için bilgilerinizi girin. ,spam,ödül,kazandık ödül bilgi gir
73,Hediyenizi almak için son gün. ,spam,ödül,hediye almak son gün
77,Bedava alışveriş hakkı kazandınız. ,spam,ödül,bedav alışveriş hakkı kaza
78,"Hesabınızda şüpheli oturum açma denemesi algılandı, güvenlik için hemen doğrulama yapın",spam,kimlik avı,hesap şüphel otur açma denemes algıla güvenlik heme doğrula yap
79,"Kullanıcı bilgilerinizin süresi dolmuştur, hesabınızın kapanmaması için giriş yapın",spam,kimlik avı,kullanıç bilgi süres dol hesap kapanmamas giriş yap
80,"E-posta hesabınız geçici olarak sınırlandırıldı, erişimi açmak için bilgilerinizi onaylayın",spam,kimlik avı,e pos hesap geçiç sınırlandırıl eriş açmak bilgi onaylay
81,"Güvenlik kontrolü tamamlanmadı, hesabınızı kullanmaya devam etmek için doğrulama yapmanız gerekiyor",spam,kimlik avı,güvenlik kontrolü tamamlanmadı hesap kullanma deva etmek doğrula yapma gerekiyor
82,Hesabınızda şüpheli işlem var. ,spam,banka,hesap şüphel işle var
88,İşlem detaylarınızı kontrol edin. ,normal,banka,i şlem detay kontrol edi
96,Mobil bankacılığa giriş yaptınız. ,normal,banka,mobil bankacılık giriş yap
102,"Şifreniz risk altında olabilir, hesabınızı korumak için bağlantıya tıklayın",spam,kimlik avı,şifre risk alt olabilir hesap korumak bağlantı tıklay
103,"Banka kartınızla olağan dışı işlem yapılmıştır, işlemi iptal etmek için hesabınıza giriş yapın",spam,banka,banka kart olağa dış işle yapıl işle iptal etmek hesap giriş yap
104,"Hesabınız güvenlik kontrolüne alınmıştır, müşteri bilgilerinizi güncellemeniz gerekmektedir",spam,banka,hesap güvenlik kontrol al müşter bilgi güncelleme gerekmek
105,"Kart limitiniz güvenlik sebebiyle durduruldu, yeniden aktif etmek için doğrulama yapın",spam,banka,kart limit güvenlik sebep durdurul yeni aktif etmek doğrula yap
106,"Mobil bankacılık erişiminiz geçici olarak kapatılmıştır, açmak için bilgilerinizi onaylayın",spam,banka,mobil bankacılık eriş geçiç kapatıl açmak bilgi onaylay
107,"Hesabınıza ait güvenlik bildirimi bulunmaktadır, gecikmeden işlem yapınız",spam,banka,hesap ait güvenlik bildir bulunmak gecikme işle yap
108,"Kargonuz adres eksikliği nedeniyle teslim edilemedi, teslimat için bilgilerinizi güncelleyin",spam,kargo,kargo adres eksiklik neden tesl edilemedi teslimat bilgi güncelley
109,"Paketiniz dağıtıma çıkarılamadı, yeniden teslimat oluşturmak için formu doldurun",spam,kargo,paket dağıt çıkarılamadı yeni teslimat oluşturmak formu doldur
110,"Gönderiniz teslimat merkezinde bekliyor, teslim almak için küçük bir ücret ödemeniz gerekiyor",spam,kargo,gönder teslimat merkez bekliyor tesl almak küçük ücret ödeme gerekiyor
111,"Kargo takip bilgileriniz eksik görünüyor, gönderinizi kaybetmemek için hemen güncelleyin",spam,kargo,kargo takip bilgi eksik görünüyor gönder kaybetmemek heme güncelley
112,Teslim edilemeyen paketiniz için son işlem süresi bugün doluyor,spam,kargo,tesl edilemeye paket son işle süres bugu doluyor
113,"Bugüne özel dev indirim başladı, stoklar tükenmeden hemen sipariş verin",spam,reklam,bugu özel dev indir başladı stok tükenme heme sipariş ver
114,"Size özel kampanya tanımlandı, indirim hakkınızı kullanmak için hemen alışveriş yapın",spam,reklam,siz özel kampanya tanımla indir hakk kullanmak heme alışveriş yap
115,"Son saatlerde geçerli fırsatları kaçırmayın, avantajlı ürünler sizi bekliyor",spam,reklam,son saatler geçerli fırsat kaçırmay avantajlı ürün siz bekliyor
116,"Üyeliğinize özel kupon hesabınıza yüklendi, kullanmak için bağlantıya tıklayın",spam,reklam,üyelik özel kupo hesap yükle kullanmak bağlantı tıklay
117,"Sınırlı süreli kampanya başladı, fırsatlardan yararlanmak için hemen giriş yapın",spam,reklam,sınırlı sürel kampanya başladı fırsat yararlanmak heme giriş yap
119,"Teslim edilemedi, tekrar deneyin. ",normal,kargo,tesl edilemedi tekrar deney
123,"Adres eksik, teslimat yapılamadı. ",spam,kargo,adres eksik teslimat yapılamadı
125,"Kargonuz iptal edildi, detaylar için tıklayın. ",spam,kargo,kargo iptal edil detay tıklay
127,"Gümrükte sorun var, işlem yapmanız gerekiyor. ",spam,kargo,gümrük sor var işle yapma gerekiyor
129,Ek ücret ödemeniz gerekiyor. ,spam,kargo,ek ücret ödeme gerekiyor
131,"Teslimat başarısız oldu, yeniden planlayın. ",spam,kargo,teslimat başarıs ol yeni planlay
132,Paketiniz şubeden teslim alınabilir.,normal,kargo,paket şube tesl alınabilir
133,"Kargonuz bekletiliyor, işlem yapın.",spam,kargo,kargo bekletiliyor işle yap
136,Kargonuz bugün teslim edilecektir. ,normal,kargo,kargo bugu tesl edilecek
138,"Evden çalışarak günlük yüksek gelir elde edebilirsiniz, başvuru için formu doldurun",spam,iş dolandırıcılığı,ev çalışarak günlük yük gelir el edebilir başvur formu doldur
139,"Part time iş fırsatı için seçildiniz, hemen başvuru bilgilerinizi gönderin",spam,iş dolandırıcılığı,part t iş fırsat seçil heme başvur bilgi gönder
140,Deneyim gerektirmeyen yüksek maaşlı iş imkanı sizi bekliyor,spam,iş dolandırıcılığı,de gerektirmeye yük maaşlı iş imka siz bekliyor
141,Şirketimiz adına ödeme alıp komisyon kazanmak ister misiniz,spam,iş dolandırıcılığı,şirket ad öde alıp komisyo kazanmak ister mi
142,Online çalışarak haftalık gelir elde etmek için kayıt olun,spam,iş dolandırıcılığı,onl çalışarak haftalık gelir el etmek kayıt ol
143,"Kripto piyasasında risksiz kazanç fırsatı başladı, hemen yatırım yapın",spam,yatırım,kripto piyasa risksiz kazanç fırsat başladı heme yatır yap
144,Kısa sürede paranızı ikiye katlama fırsatını kaçırmayın,spam,yatırım,kıs süre para iki katla fırsat kaçırmay
145,"Uzman yatırım ekibimizle yüksek kazanç sağlayabilirsiniz, şimdi katılın",spam,yatırım,uzma yatır ekip yük kazanç sağlayabilir ş katıl
146,Yeni yatırım sistemimizle zarar etmeden gelir elde edebilirsiniz,spam,yatırım,ye yatır sistem zarar etme gelir el edebilir
147,Sadece bugün katılanlara özel yüksek kazanç garantisi sunulmaktadır,spam,yatırım,sadeç bugu katılan özel yük kazanç garantis sunulmak
148,"Son uyarı, hesabınız kapatılmadan önce bilgilerinizi doğrulamanız gerekmektedir",spam,tehdit,son uyar hesap kapatılma bilgi doğrulama gerekmek
149,İşlem yapılmazsa üyeliğiniz kalıcı olarak silinecektir,spam,tehdit,i şlem yapılmaz üyelik kalıç silinecek
150,"Güvenlik nedeniyle hesabınıza erişim durdurulacaktır, hemen kontrol edin",spam,tehdit,güvenlik neden hesap eriş durdurulacak heme kontrol edi
151,Yasal takip başlatılmadan önce ödemenizi tamamlayın,spam,tehdit,yasal takip başlatılma ödeme tamamlay
152,"Uyarı, sistemde kayıtlı bilgileriniz doğrulanmadığı için hizmetiniz askıya alınacaktır",spam,tehdit,uyar siste kayıtlı bilgi doğrulanmadık hizmet askı alınacak
153,"Adınıza düzenlenen fatura ödenmemiştir, gecikme yaşamamak için ödeme yapın",spam,fatura,ad düzenlene fatur ödenmemiş gecikme yaşamamak öde yap
154,"Ödeme bildiriminiz başarısız oldu, borcunuzun artmaması için tekrar deneyin",spam,fatura,öde bildir başarıs ol borç artmamas tekrar deney
155,"Faturanız için son ödeme tarihi geçmiştir, bağlantı üzerinden ödeme yapınız",spam,fatura,fatura son öde tarih geç bağla üzer öde yap
156,"Hesabınıza ait tahsilat beklemektedir, gecikme cezası oluşmadan işlem yapın",spam,fatura,hesap ait tahsilat beklemek gecikme cezas oluşma işle yap
157,"Ödenmemiş abonelik ücretiniz bulunmaktadır, hizmet kesintisi yaşamamak için ödeme yapın",spam,fatura,ödenmemiş abonelik ücret bulunmak hizmet kesintis yaşamamak öde yap
162,Linke tıklayarak işlemi tamamlayın.,spam,kimlik avı,linke tıklayarak işle tamamlay
164,"Hesabınız kilitlendi, açmak için giriş yapın. ",spam,kimlik avı,hesap kilitle açmak giriş yap
165,Yeni cihazdan giriş yapıldı.,normal,kimlik avı,ye cihaz giriş yapıl
169,Kimlik doğrulama başarısız oldu. ,spam,kimlik avı,kimlik doğrula başarıs ol
171,Bilgilerinizi girerek devam edin. ,spam,kimlik avı,bilgi girerek deva edi
175,Yetkisiz erişim tespit edildi. ,spam,kimlik avı,yetkis eriş tespit edil
177,İş görüşmesine davetlisiniz. ,normal,İş Dolandırıcılığı,i ş görüşme davetli
178,Günlük yüksek kazanç fırsatı. ,spam,İş Dolandırıcılığı,günlük yük kazanç fırsat
180,İş fırsatını kaçırmayın. ,spam,İş Dolandırıcılığı,i ş fırsat kaçırmay
182,Başlamak için ön ödeme yapın. ,spam,İş Dolandırıcılığı,başlamak ön öde yap
184,Kolay iş yüksek kazanç. ,spam,İş Dolandırıcılığı,kolay iş yük kazanç
186,Hızlı para kazanma fırsatı. ,spam,İş Dolandırıcılığı,hızlı par kazanma fırsat
187,Size iş teklifi gönderildi. ,normal,İş Dolandırıcılığı,siz iş teklif gönderil
188,Kayıt için ücret ödemeniz gerekiyor. ,spam,İş Dolandırıcılığı,kayıt ücret ödeme gerekiyor
189,İş ilanı detayları ektedir. ,normal,İş Dolandırıcılığı,i ş ila detay ek
192,Ek iş fırsatı sizi bekliyor. ,spam,İş Dolandırıcılığı,ek iş fırsat siz bekliyor
194,Ödeme yaparak işe başlayın. ,spam,İş Dolandırıcılığı,öde yaparak iş başlay
195,İnsan kaynaklarından mesajınız var. ,normal,İş Dolandırıcılığı,i nsan kaynak mesaj var
197,Faturanızı ödemezseniz hizmet kesilecektir. ,spam,Fatura,fatura ödemez hizmet kesilecek
199,"Gecikmiş borcunuz bulunmaktadır, hemen ödeyin. ",spam,Fatura,gecik borç bulunmak heme ödey
201,Ödeme yapılmadığı için işlem başlatılacaktır. ,spam,Fatura,öde yapılmadık işle başlatılacak
202,İnternet faturanız görüntülenebilir. ,normal,Fatura,i nternet fatura görüntülenebilir
205,Son ödeme tarihi yaklaşmaktadır. ,spam,Fatura,son öde tarih yaklaşmak
206,"Ödeme alındı, teşekkür ederiz. ",normal,Fatura,öde al teşekkür eder
207,Borç tahsilatı için işlem başlatıldı. ,spam,Fatura,borç tahsilat işle başlatıl
210,Fatura kesim tarihi güncellendi. ,normal,Fatura,fatur kes tarih güncelle
218,Fatura bilgilerinizi kontrol edin. ,normal,Fatura,fatur bilgi kontrol edi
225,"Ödeme işlemi başarısız oldu, tekrar deneyin.",spam,Fatura,öde işle başarıs ol tekrar deney
226,Hesabınıza yeni giriş yapıldı. ,normal,Sosyal Medya,hesap ye giriş yapıl
227,"Hesabınız askıya alındı, giriş yapın.",spam,Sosyal Medya,hesap askı al giriş yap
237,Arkadaşlık isteğiniz kabul edildi. ,normal,Sosyal Medya,arkadaşlık istek kabul edil
240,Yetkisiz giriş tespit edildi. ,spam,Sosyal Medya,yetkis giriş tespit edil
244,Hesap kurtarma işlemi başlatıldı.,spam,Sosyal Medya,hesap kurtarma işle başlatıl
246,Şüpheli aktivite tespit edildi. ,spam,Sosyal Medya,şüphel aktivi tespit edil
248,Giriş yaparak devam edin. ,spam,Sosyal Medya,giriş yaparak deva edi
250,Hesabınızı hemen kontrol edin.,spam,Sosyal Medya,hesap heme kontrol edi
251,Yeni öneriler sizin için hazır. ,normal,Sosyal Medya,ye öneri siz hazır
256,Aboneliğinizi iptal etmezseniz ücret kesilecektir. ,spam,Abonelik,abonelik iptal etmez ücret kesilecek
258,Hemen iptal etmek için tıklayın.,spam,Abonelik,heme iptal etmek tıklay
274,Abonelik süreniz devam ediyor. ,normal,Abonelik,abonelik süre deva ediyor
284,"Merhaba, yarın saat 10:00'da yapılacak toplantıya katılımınızı rica ederiz.",normal,iş,merhap yar saat yapılacak toplantı katılım rica eder
285,"Proje dosyasını güncelledim, inceleyip geri dönüş yapabilir misiniz?",normal,iş,proje dosya güncelledi inceleyip ger dönüş yapabilir mi
286,"Toplantı linki aşağıda paylaşılmıştır, zamanında katılmayı unutmayın.",normal,iş,topla linki aşağı paylaşıl zaman katılma unutmay
287,Dün gönderdiğim maili kontrol edebildiniz mi?,normal,iş,dün gönderdik mail kontrol edebil
288,"Toplantı saatini 15:00 olarak güncelledik, bilginize.",normal,iş,topla saat güncelledik bilgi
289,"İlgili belgeleri ekte bulabilirsiniz, incelemenizi rica ederim.",normal,iş,i lgil belge ek bulabilir inceleme rica eder
290,"Bugün ofiste olmayacağım, yarın görüşürüz.",normal,iş,bugu ofis olmayacak yar görüşür
291,"Sunum dosyasını güncelledim, tekrar kontrol edebilir misin?",normal,iş,s dosya güncelledi tekrar kontrol edebilir mi
292,Toplantı notlarını sizinle paylaşıyorum.,normal,iş,topla not siz paylaşıyor
293,"Yeni görev atamanız yapılmıştır, sistemden kontrol edebilirsiniz.",normal,iş,ye görev atama yapıl siste kontrol edebilir
294,Haftalık rapor hazırlanmış ve yönetime iletilmiştir.,normal,iş,haftalık rapor hazırla yönet iletil
295,Toplantı odası rezervasyonu yapılmıştır.,normal,iş,topla odas rezervasyo yapıl
296,Sisteme girişte sorun yaşıyorsanız bize ulaşabilirsiniz.,normal,iş,siste giriş sor yaşıyor biz ulaşabilir
297,"Bugünkü ders iptal edilmiştir, yarın aynı saatte devam edilecektir.",normal,eğitim,bugünkü ders iptal edil yar aynı saatte deva edilecek
298,Ödev teslim tarihi haftaya pazartesi gününe uzatılmıştır.,normal,eğitim,ödev tesl tarih hafta pazartes gün uzatıl
299,"Yeni ders programı sisteme yüklenmiştir, kontrol edebilirsiniz.",normal,eğitim,ye ders progra siste yükle kontrol edebilir
300,Yarın yapılacak sınavın kapsamı duyurulmuştur.,normal,eğitim,yar yapılacak sınav kapsa duyurul
301,"Ders notlarını sisteme yükledim, inceleyebilirsiniz.",normal,eğitim,ders not siste yükledi inceleyebilir
302,"Sınav sonuçları açıklanmıştır, sisteme giriş yaparak öğrenebilirsiniz.",normal,eğitim,sınav sonuç açıkla siste giriş yaparak öğrenebilir
303,Bugün ders saatinde değişiklik yapılmıştır.,normal,eğitim,bugu ders saat değişiklik yapıl
304,"Yeni eğitim programı duyurulmuştur, kayıtlar başlamıştır.",normal,eğitim,ye eğit progra duyurul kayıt başlamış
305,"Faturanız başarıyla ödenmiştir, iyi günler dileriz.",normal,fatura,fatura başar ö i gün di
306,"Aylık hesap özetiniz ektedir, incelemenizi rica ederiz.",normal,fatura,aylık hesap özet ek inceleme rica eder
307,Ödeme işleminiz başarıyla tamamlanmıştır.,normal,fatura,öde işle başar tamamla
308,"Faturanızın son ödeme tarihi yaklaşmaktadır, bilginize.",normal,fatura,fatura son öde tarih yaklaşmak bilgi
309,"Ödemeniz alınmıştır, teşekkür ederiz.",normal,fatura,ödeme al teşekkür eder
310,"Kargonuz bugün dağıtıma çıkmıştır, gün içinde teslim edilecektir.",normal,kargo,kargo bugu dağıt çık gün iç tesl edilecek
311,"Siparişiniz hazırlanıyor, en kısa sürede kargoya verilecektir.",normal,kargo,sipariş hazırlanıyor kıs süre kargo verilecek
312,"Siparişiniz başarıyla oluşturulmuştur, teşekkür ederiz.",normal,kargo,sipariş başar oluşturul teşekkür eder
313,Kargo takip numaranız mesaj olarak iletilmiştir.,normal,kargo,kargo takip numara mesaj iletil
314,"Kargonuz şubeye ulaşmıştır, yarın teslim edilecektir.",normal,kargo,kargo şube ulaş yar tesl edilecek
315,"Ürün iade talebiniz alınmıştır, süreç başlatılmıştır.",normal,kargo,ür ia talep al süreç başlatıl
316,"Siparişiniz iptal edilmiştir, ücret iadesi yapılacaktır.",normal,kargo,sipariş iptal edil ücret iades yapılacak
317,"Kargonuz teslim edilmiştir, iyi günlerde kullanın.",normal,kargo,kargo tesl edil i gün kulla
321,Yazılımınız en son sürüme güncellendi.,normal,Teknik Destek,yazıl son sür güncelle
322,Hesabınıza yeni cihazdan giriş yapıldı.,normal,Teknik Destek,hesap ye cihaz giriş yapıl
330,Hesap doğrulama işlemi tamamlandı.,normal,Teknik Destek,hesap doğrula işle tamamla
331,Oturumunuz güvenli şekilde açıldı.,normal,Teknik Destek,otur güvenli şekil açıl
334,Sistem taraması başarıyla tamamlandı.,normal,Teknik Destek,siste taramas başar tamamla
341,Servis başarıyla aktif edildi.,normal,Teknik Destek,servis başar aktif edil
345,Teknik destek talebiniz alındı.,normal,Teknik Destek,teknik destek talep al
347,Bağlantı stabil şekilde devam ediyor.,normal,Teknik Destek,bağla stabil şekil deva ediyor
348,"Merhaba, hafta sonu için plan yapalım mı?",normal,kişisel,merhap haf so plan yapal
349,"Akşam buluşalım mı, müsait misin?",normal,kişisel,akşa buluşal müsait mi
350,Yarınki görüşmemiz için saat uygun mudur?,normal,kişisel,yar görüşme saat uygu mu
351,Akşam yemeği için plan yapalım.,normal,kişisel,akşa yemek plan yapal
352,"Yarın hava çok güzel olacak, dışarı çıkabiliriz.",normal,kişisel,yar hav güzel olacak dışar çıkabilir
353,Yarın yapılacak etkinlik saat 18:00'de başlayacaktır.,normal,etkinlik,yar yapılacak etkinlik saat başlayacak
354,"Cihazınızda virüs tespit edildi, hemen temizleyin.",spam,Teknik Destek,cihaz virüs tespit edil heme temizley
355,"Bilgisayarınız tehlikede, acil müdahale edin.",spam,Teknik Destek,bilgisayar tehlike acil müdahal edi
356,"Sisteminiz hacklendi, bilgilerinizi girin.",spam,Teknik Destek,siste hackle bilgi gir
357,"Acil güvenlik uyarısı, hemen işlem yapın.",spam,Teknik Destek,acil güvenlik uyarıs heme işle yap
358,"Cihazınız ele geçirildi, doğrulama yapın.",spam,Teknik Destek,cihaz el geçiril doğrula yap
359,"Tehdit algılandı, sistemi temizlemek için tıklayın.",spam,Teknik Destek,tehdit algıla siste temizlemek tıklay
360,Virüs temizleme işlemi için giriş yapın.,spam,Teknik Destek,virüs temizle işle giriş yap
361,"Sisteminiz risk altında, hemen koruma başlatın.",spam,Teknik Destek,siste risk alt heme kor başlat
362,Bilgilerinizi doğrulamazsanız sistem kapanacak.,spam,Teknik Destek,bilgi doğrulamaz siste kapanacak
363,"Güvenlik ihlali tespit edildi, müdahale edin.",spam,Teknik Destek,güvenlik ihlal tespit edil müdahal edi
364,Cihazınıza izinsiz erişim sağlandı.,spam,Teknik Destek,cihaz izinsiz eriş sağla
365,Acil teknik destek için bağlantıya tıklayın.,spam,Teknik Destek,acil teknik destek bağlantı tıklay
366,"Sistem hatası bulundu, çözmek için giriş yapın.",spam,Teknik Destek,siste hatas bul çözmek giriş yap
367,"Verileriniz çalınmış olabilir, kontrol edin.",spam,Teknik Destek,ver çal olabilir kontrol edi
368,"Bilgisayarınız saldırı altında, hemen işlem yapın.",spam,Teknik Destek,bilgisayar saldır alt heme işle yap
369,"Güvenlik açığı bulundu, bilgilerinizi girin.",spam,Teknik Destek,güvenlik açık bul bilgi gir
370,Cihazınızı korumak için doğrulama yapın.,spam,Teknik Destek,cihaz korumak doğrula yap
371,Tehditleri temizlemek için bağlantıya gidin.,spam,Teknik Destek,tehdit temizlemek bağlantı gidi
372,"Sisteminiz kapatılmak üzere, hemen müdahale edin.",spam,Teknik Destek,siste kapatılmak heme müdahal edi
373,"Hesabınız ele geçirildi, kurtarmak için giriş yapın.",spam,Teknik Destek,hesap el geçiril kurtarmak giriş yap
374,Acil güvenlik güncellemesi gerekli.,spam,Teknik Destek,acil güvenlik güncellemes gerekli
375,"Sisteminiz zarar gördü, çözüm için tıklayın.",spam,Teknik Destek,siste zarar gör çöz tıklay
376,Bilgisayarınızı korumak için hemen işlem yapın.,spam,Teknik Destek,bilgisayar korumak heme işle yap
377,"Güvenlik uyarısı, detaylar için giriş yapın.",spam,Teknik Destek,güvenlik uyarıs detay giriş yap
