id;metin;etiket;kategori
102;Şifreniz risk altında olabilir, hesabınızı korumak için bağlantıya tıklayın;spam;kimlik avı
103;Banka kartınızla olağan dışı işlem yapılmıştır, işlemi iptal etmek için hesabınıza giriş yapın;spam;banka
104;Hesabınız güvenlik kontrolüne alınmıştır, müşteri bilgilerinizi güncellemeniz gerekmektedir;spam;banka
105;Kart limitiniz güvenlik sebebiyle durduruldu, yeniden aktif etmek için doğrulama yapın;spam;banka
106;Mobil bankacılık erişiminiz geçici olarak kapatılmıştır, açmak için bilgilerinizi onaylayın;spam;banka
107;Hesabınıza ait güvenlik bildirimi bulunmaktadır, gecikmeden işlem yapınız;spam;banka
108;Kargonuz adres eksikliği nedeniyle teslim edilemedi, teslimat için bilgilerinizi güncelleyin;spam;kargo
109;Paketiniz dağıtıma çıkarılamadı, yeniden teslimat oluşturmak için formu doldurun;spam;kargo
110;Gönderiniz teslimat merkezinde bekliyor, teslim almak için küçük bir ücret ödemeniz gerekiyor;spam;kargo
111;Kargo takip bilgileriniz eksik görünüyor, gönderinizi kaybetmemek için hemen güncelleyin;spam;kargo
112;Teslim edilemeyen paketiniz için son işlem süresi bugün doluyor;spam;kargo
113;Bugüne özel dev indirim başladı, stoklar tükenmeden hemen sipariş verin;spam;reklam
114;Size özel kampanya tanımlandı, indirim hakkınızı kullanmak için hemen alışveriş yapın;spam;reklam
115;Son saatlerde geçerli fırsatları kaçırmayın, avantajlı ürünler sizi bekliyor;spam;reklam
116;Üyeliğinize özel kupon hesabınıza yüklendi, kullanmak için bağlantıya tıklayın;spam;reklam
117;Sınırlı süreli kampanya başladı, fırsatlardan yararlanmak için hemen giriş yapın;spam;reklam
118;Kargonuz yolda. ;normal;kargo
119;Teslim edilemedi, tekrar deneyin. ;normal;kargo
120;Siparişiniz gönderildi. ;normal;kargo
121;Kargo beklemede. ;spam;kargo
122;Takip numaranız oluşturuldu. ;normal;kargo
123;Adres eksik, teslimat yapılamadı. ;spam;kargo
124;Paketiniz teslim edildi. ;normal;kargo
125;Kargonuz iptal edildi, detaylar için tıklayın. ;spam;kargo
126;Teslimat planlandı. ;normal;kargo
127;Gümrükte sorun var, işlem yapmanız gerekiyor. ;spam;kargo
128;Kargonuz dağıtıma çıktı. ;normal;kargo
129;Ek ücret ödemeniz gerekiyor. ;spam;kargo
130;Siparişiniz hazırlanıyor. ;normal;kargo
131;Teslimat başarısız oldu, yeniden planlayın. ;spam;kargo
132;Paketiniz şubeden teslim alınabilir.;normal;kargo
133;Kargonuz bekletiliyor, işlem yapın.;spam;kargo
134;Siparişiniz başarıyla tamamlandı.;normal;kargo
135;Teslimat adresinizi güncelleyin. ;spam;kargo
136;Kargonuz bugün teslim edilecektir. ;normal;kargo
137;Takip için bağlantıya tıklayın. ;spam;kargo
138;Evden çalışarak günlük yüksek gelir elde edebilirsiniz, başvuru için formu doldurun;spam;iş dolandırıcılığı
139;Part time iş fırsatı için seçildiniz, hemen başvuru bilgilerinizi gönderin;spam;iş dolandırıcılığı
140;Deneyim gerektirmeyen yüksek maaşlı iş imkanı sizi bekliyor;spam;iş dolandırıcılığı
141;Şirketimiz adına ödeme alıp komisyon kazanmak ister misiniz;spam;iş dolandırıcılığı
142;Online çalışarak haftalık gelir elde etmek için kayıt olun;spam;iş dolandırıcılığı
143;Kripto piyasasında risksiz kazanç fırsatı başladı, hemen yatırım yapın;spam;yatırım
144;Kısa sürede paranızı ikiye katlama fırsatını kaçırmayın;spam;yatırım
145;Uzman yatırım ekibimizle yüksek kazanç sağlayabilirsiniz, şimdi katılın;spam;yatırım
146;Yeni yatırım sistemimizle zarar etmeden gelir elde edebilirsiniz;spam;yatırım
147;Sadece bugün katılanlara özel yüksek kazanç garantisi sunulmaktadır;spam;yatırım
148;Son uyarı, hesabınız kapatılmadan önce bilgilerinizi doğrulamanız gerekmektedir;spam;tehdit
149;İşlem yapılmazsa üyeliğiniz kalıcı olarak silinecektir;spam;tehdit
150;Güvenlik nedeniyle hesabınıza erişim durdurulacaktır, hemen kontrol edin;spam;tehdit
151;Yasal takip başlatılmadan önce ödemenizi tamamlayın;spam;tehdit
152;Uyarı, sistemde kayıtlı bilgileriniz doğrulanmadığı için hizmetiniz askıya alınacaktır;spam;tehdit
153;Adınıza düzenlenen fatura ödenmemiştir, gecikme yaşamamak için ödeme yapın;spam;fatura
154;Ödeme bildiriminiz başarısız oldu, borcunuzun artmaması için tekrar deneyin;spam;fatura
155;Faturanız için son ödeme tarihi geçmiştir, bağlantı üzerinden ödeme yapınız;spam;fatura
156;Hesabınıza ait tahsilat beklemektedir, gecikme cezası oluşmadan işlem yapın;spam;fatura
157;Ödenmemiş abonelik ücretiniz bulunmaktadır, hizmet kesintisi yaşamamak için ödeme yapın;spam;fatura
158;Şifrenizi yenileyin. ;spam;kimlik avı
159;Güvenlik bildirimi gönderildi. ;normal;kimlik avı
160;Giriş yapmanız gerekiyor. ;spam;kimlik avı
161;Hesabınız başarıyla doğrulandı. ;normal;kimlik avı
162;Linke tıklayarak işlemi tamamlayın.;spam;kimlik avı
163;Şifre değiştirildi. ;normal;kimlik avı
164;Hesabınız kilitlendi, açmak için giriş yapın. ;spam;kimlik avı
165;Yeni cihazdan giriş yapıldı.;normal;kimlik avı
166;Parolanız güncellendi. ;normal;kimlik avı
167;Oturum süreniz doldu. ;spam;kimlik avı
168;Hesabınıza giriş bildirimi. ;normal;kimlik avı
169;Kimlik doğrulama başarısız oldu. ;spam;kimlik avı
170;Hesabınız aktif durumda. ;normal;kimlik avı
171;Bilgilerinizi girerek devam edin. ;spam;kimlik avı
172;Güvenli giriş sağlandı. ;normal;kimlik avı
173;Hesabınız askıya alındı. ;spam;kimlik avı
174;Bildirim başarıyla iletildi. ;normal;kimlik avı
175;Yetkisiz erişim tespit edildi. ;spam;kimlik avı
176;Evden para kazanabilirsiniz. ;spam;İş Dolandırıcılığı
177;İş görüşmesine davetlisiniz. ;normal;İş Dolandırıcılığı
178;Günlük yüksek kazanç fırsatı. ;spam;İş Dolandırıcılığı
179;CV’niz incelendi. ;normal;İş Dolandırıcılığı
180;İş fırsatını kaçırmayın. ;spam;İş Dolandırıcılığı
181;Pozisyon açıldı, başvurabilirsiniz. ;normal;İş Dolandırıcılığı
182;Başlamak için ön ödeme yapın. ;spam;İş Dolandırıcılığı
183;Başvurunuz alınmıştır. ;normal;İş Dolandırıcılığı
184;Kolay iş yüksek kazanç. ;spam;İş Dolandırıcılığı
185;Görüşme tarihiniz belirlendi.;normal;İş Dolandırıcılığı
186;Hızlı para kazanma fırsatı. ;spam;İş Dolandırıcılığı
187;Size iş teklifi gönderildi. ;normal;İş Dolandırıcılığı
188;Kayıt için ücret ödemeniz gerekiyor. ;spam;İş Dolandırıcılığı
189;İş ilanı detayları ektedir. ;normal;İş Dolandırıcılığı
190;Garantili kazanç fırsatı. ;spam;İş Dolandırıcılığı
191;Başvurunuz onaylandı. ;normal;İş Dolandırıcılığı
192;Ek iş fırsatı sizi bekliyor. ;spam;İş Dolandırıcılığı
193;Görüşme hatırlatması. ;normal;İş Dolandırıcılığı
194;Ödeme yaparak işe başlayın. ;spam;İş Dolandırıcılığı
195;İnsan kaynaklarından mesajınız var. ;normal;İş Dolandırıcılığı
196;Elektrik faturanız oluşturuldu. ;normal;Fatura
197;Faturanızı ödemezseniz hizmet kesilecektir. ;spam;Fatura
198;Su faturanız hazırdır. ;normal;Fatura
199;Gecikmiş borcunuz bulunmaktadır, hemen ödeyin. ;spam;Fatura
200;Doğalgaz faturanız kesildi. ;normal;Fatura
201;Ödeme yapılmadığı için işlem başlatılacaktır. ;spam;Fatura
202;İnternet faturanız görüntülenebilir. ;normal;Fatura
203;Borç bildirimi için tıklayın. ;spam;Fatura
204;Fatura detaylarınız ektedir. ;normal;Fatura
205;Son ödeme tarihi yaklaşmaktadır. ;spam;Fatura
206;Ödeme alındı, teşekkür ederiz. ;normal;Fatura
207;Borç tahsilatı için işlem başlatıldı. ;spam;Fatura
208;Fatura bildirimi gönderildi. ;normal;Fatura
209;Ödeme yapmanız gerekmektedir.;spam;Fatura
210;Fatura kesim tarihi güncellendi. ;normal;Fatura
211;Acil ödeme talebi. ;spam;Fatura
212;Tahsilat işlemi tamamlandı.;normal;Fatura
213;Ödenmemiş faturanız bulunmaktadır. ;spam;Fatura
214;Fatura başarıyla ödendi. ;normal;Fatura
215;Ödeme için linke tıklayın. ;spam;Fatura
216;Abonelik faturanız kesildi. ;normal;Fatura
217;Gecikme faizi uygulanacaktır. ;spam;Fatura
218;Fatura bilgilerinizi kontrol edin. ;normal;Fatura
219;Borç uyarısı gönderildi. ;spam;Fatura
220;Tahsilat makbuzunuz hazır. ;normal;Fatura
221;Ödeme hatırlatması. ;spam;Fatura
222;Fatura işleminiz tamamlandı. ;normal;Fatura
223;Borç kapatma fırsatı. ;spam;Fatura
224;Fatura kaydınız oluşturuldu. ;normal;Fatura
225;Ödeme işlemi başarısız oldu, tekrar deneyin.;spam;Fatura
226;Hesabınıza yeni giriş yapıldı. ;normal;Sosyal Medya
227;Hesabınız askıya alındı, giriş yapın.;spam;Sosyal Medya
228;Yeni takipçiniz var. ;normal;Sosyal Medya
229;Hesabınızı doğrulamazsanız kapatılacaktır. ;spam;Sosyal Medya
230;Yeni mesajınız var. ;normal;Sosyal Medya
231;Bildirim ayarlarınız güncellendi. ;normal;Sosyal Medya
232;Hesap güvenliği için tıklayın. ;spam;Sosyal Medya
233;Yeni yorum aldınız. ;normal;Sosyal Medya
234;Hesabınız tehlikede. ;spam;Sosyal Medya
235;Paylaşımınız beğenildi. ;normal;Sosyal Medya
236;Kimliğinizi doğrulayın. ;spam;Sosyal Medya
237;Arkadaşlık isteğiniz kabul edildi. ;normal;Sosyal Medya
238;Giriş bilgilerinizi güncelleyin. ;spam;Sosyal Medya
239;Hesabınız aktif. ;normal;Sosyal Medya
240;Yetkisiz giriş tespit edildi. ;spam;Sosyal Medya
241;Yeni etiketlendiniz. ;normal;Sosyal Medya
242;Hesap doğrulama gerekli. ;spam;Sosyal Medya
243;Mesajınız iletildi. ;normal;Sosyal Medya
244;Hesap kurtarma işlemi başlatıldı.;spam;Sosyal Medya
245;Yeni hikaye paylaşıldı. ;normal;Sosyal Medya
246;Şüpheli aktivite tespit edildi. ;spam;Sosyal Medya
247;Profiliniz güncellendi. ;normal;Sosyal Medya
248;Giriş yaparak devam edin. ;spam;Sosyal Medya
249;Bildirim gönderildi. ;normal;Sosyal Medya
250;Hesabınızı hemen kontrol edin.;spam;Sosyal Medya
251;Yeni öneriler sizin için hazır. ;normal;Sosyal Medya
252;Hesap kilitlendi. ;spam;Sosyal Medya
253;Arkadaş önerileri güncellendi. ;normal;Sosyal Medya
254;Hesabınız kapanmak üzere. ;spam;Sosyal Medya
255;Aboneliğiniz yenilendi. ;normal;Abonelik
256;Aboneliğinizi iptal etmezseniz ücret kesilecektir. ;spam;Abonelik
257;Üyeliğiniz aktif durumda. ;normal;Abonelik
258;Hemen iptal etmek için tıklayın.;spam;Abonelik
259;Premium üyeliğiniz başladı. ;normal;Abonelik
260;Üyelik bilgilerinizi güncelleyin. ;spam;Abonelik
261;Abonelik ödeme alındı. ;normal;Abonelik
262;Kart bilgilerinizi girin.;spam;Abonelik
263;Üyelik süreniz uzatıldı. ;normal;Abonelik
264;Abonelik sona eriyor. ;spam;Abonelik
265;Üyeliğiniz başarıyla yenilendi. ;normal;Abonelik
266;Hemen ödeme yapın.;spam;Abonelik
267;Abonelik planınız değiştirildi. ;normal;Abonelik
268;Ödeme bilgilerinizi doğrulayın. ;spam;Abonelik
269;Hesabınız premium oldu.;normal;Abonelik
270;Üyeliğinizi doğrulayın.;spam;Abonelik
271;Ödeme başarısız. ;spam;Abonelik
272;Üyelik aktif edildi.;normal;Abonelik
273;Bilgilerinizi güncelleyin.;spam;Abonelik
274;Abonelik süreniz devam ediyor. ;normal;Abonelik
275;Hesap doğrulaması gerekli. ;spam;Abonelik
276;Üyelik detaylarınız ektedir.;normal;Abonelik
277;Acil işlem yapın. ;spam;Abonelik
278;Abonelik kaydınız oluşturuldu.;normal;Abonelik
279;Ödeme yapılmadı.;spam;Abonelik
280;Üyeliğiniz doğrulandı. ;normal;Abonelik
281;Hemen giriş yapın.;spam;Abonelik
282;Abonelik güncellendi.;normal;Abonelik
283;Üyelik iptal edilecektir. ;spam;Abonelik
284;Merhaba, yarın saat 10:00'da yapılacak toplantıya katılımınızı rica ederiz.;normal;iş
285;Proje dosyasını güncelledim, inceleyip geri dönüş yapabilir misiniz?;normal;iş
286;Toplantı linki aşağıda paylaşılmıştır, zamanında katılmayı unutmayın.;normal;iş
287;Dün gönderdiğim maili kontrol edebildiniz mi?;normal;iş
288;Toplantı saatini 15:00 olarak güncelledik, bilginize.;normal;iş
289;İlgili belgeleri ekte bulabilirsiniz, incelemenizi rica ederim.;normal;iş
290;Bugün ofiste olmayacağım, yarın görüşürüz.;normal;iş
291;Sunum dosyasını güncelledim, tekrar kontrol edebilir misin?;normal;iş
292;Toplantı notlarını sizinle paylaşıyorum.;normal;iş
293;Yeni görev atamanız yapılmıştır, sistemden kontrol edebilirsiniz.;normal;iş
294;Haftalık rapor hazırlanmış ve yönetime iletilmiştir.;normal;iş
295;Toplantı odası rezervasyonu yapılmıştır.;normal;iş
296;Sisteme girişte sorun yaşıyorsanız bize ulaşabilirsiniz.;normal;iş
297;Bugünkü ders iptal edilmiştir, yarın aynı saatte devam edilecektir.;normal;eğitim
298;Ödev teslim tarihi haftaya pazartesi gününe uzatılmıştır.;normal;eğitim
299;Yeni ders programı sisteme yüklenmiştir, kontrol edebilirsiniz.;normal;eğitim
300;Yarın yapılacak sınavın kapsamı duyurulmuştur.;normal;eğitim
301;Ders notlarını sisteme yükledim, inceleyebilirsiniz.;normal;eğitim
302;Sınav sonuçları açıklanmıştır, sisteme giriş yaparak öğrenebilirsiniz.;normal;eğitim
303;Bugün ders saatinde değişiklik yapılmıştır.;normal;eğitim
304;Yeni eğitim programı duyurulmuştur, kayıtlar başlamıştır.;normal;eğitim
305;Faturanız başarıyla ödenmiştir, iyi günler dileriz.;normal;fatura
306;Aylık hesap özetiniz ektedir, incelemenizi rica ederiz.;normal;fatura
307;Ödeme işleminiz başarıyla tamamlanmıştır.;normal;fatura
308;Faturanızın son ödeme tarihi yaklaşmaktadır, bilginize.;normal;fatura
309;Ödemeniz alınmıştır, teşekkür ederiz.;normal;fatura
310;Kargonuz bugün dağıtıma çıkmıştır, gün içinde teslim edilecektir.;normal;kargo
311;Siparişiniz hazırlanıyor, en kısa sürede kargoya verilecektir.;normal;kargo
312;Siparişiniz başarıyla oluşturulmuştur, teşekkür ederiz.;normal;kargo
313;Kargo takip numaranız mesaj olarak iletilmiştir.;normal;kargo
314;Kargonuz şubeye ulaşmıştır, yarın teslim edilecektir.;normal;kargo
315;Ürün iade talebiniz alınmıştır, süreç başlatılmıştır.;normal;kargo
316;Siparişiniz iptal edilmiştir, ücret iadesi yapılacaktır.;normal;kargo
317;Kargonuz teslim edilmiştir, iyi günlerde kullanın.;normal;kargo
318;Şifreniz başarıyla değiştirildi.;normal;Teknik Destek
319;Sistem güncellemesi tamamlandı.;normal;Teknik Destek
320;Giriş işleminiz başarılı.;normal;Teknik Destek
321;Yazılımınız en son sürüme güncellendi.;normal;Teknik Destek
322;Hesabınıza yeni cihazdan giriş yapıldı.;normal;Teknik Destek
323;Güvenlik ayarlarınız güncellendi.;normal;Teknik Destek
324;Parolanız sıfırlandı.;normal;Teknik Destek
325;Uygulama başarıyla başlatıldı.;normal;Teknik Destek
326;Sunucu bağlantısı sağlandı.;normal;Teknik Destek
327;Yedekleme işlemi tamamlandı.;normal;Teknik Destek
328;Yeni güncelleme indirildi.;normal;Teknik Destek
329;Sistem performansı iyileştirildi.;normal;Teknik Destek
330;Hesap doğrulama işlemi tamamlandı.;normal;Teknik Destek
331;Oturumunuz güvenli şekilde açıldı.;normal;Teknik Destek
332;Veri senkronizasyonu tamamlandı.;normal;Teknik Destek
333;Ayarlarınız kaydedildi.;normal;Teknik Destek
334;Sistem taraması başarıyla tamamlandı.;normal;Teknik Destek
335;Uygulama yeniden başlatıldı.;normal;Teknik Destek
336;Giriş bildirimi gönderildi.;normal;Teknik Destek
337;Güvenliğiniz için bildirim yapıldı.;normal;Teknik Destek
338;Cihazınız sisteme eklendi.;normal;Teknik Destek
339;Yazılım kurulumu tamamlandı.;normal;Teknik Destek
340;Hesap bilgileriniz güncellendi.;normal;Teknik Destek
341;Servis başarıyla aktif edildi.;normal;Teknik Destek
342;Sisteminiz koruma altında.;normal;Teknik Destek
343;Güvenlik kontrolü tamamlandı.;normal;Teknik Destek
344;Hesabınız aktif durumda.;normal;Teknik Destek
345;Teknik destek talebiniz alındı.;normal;Teknik Destek
346;Sorununuz çözüldü.;normal;Teknik Destek
347;Bağlantı stabil şekilde devam ediyor.;normal;Teknik Destek
348;Merhaba, hafta sonu için plan yapalım mı?;normal;kişisel
349;Akşam buluşalım mı, müsait misin?;normal;kişisel
350;Yarınki görüşmemiz için saat uygun mudur?;normal;kişisel
351;Akşam yemeği için plan yapalım.;normal;kişisel
352;Yarın hava çok güzel olacak, dışarı çıkabiliriz.;normal;kişisel
353;Yarın yapılacak etkinlik saat 18:00'de başlayacaktır.;normal;etkinlik
354;Cihazınızda virüs tespit edildi, hemen temizleyin.;spam;Teknik Destek
355;Bilgisayarınız tehlikede, acil müdahale edin.;spam;Teknik Destek
356;Sisteminiz hacklendi, bilgilerinizi girin.;spam;Teknik Destek
357;Acil güvenlik uyarısı, hemen işlem yapın.;spam;Teknik Destek
358;Cihazınız ele geçirildi, doğrulama yapın.;spam;Teknik Destek
359;Tehdit algılandı, sistemi temizlemek için tıklayın.;spam;Teknik Destek
360;Virüs temizleme işlemi için giriş yapın.;spam;Teknik Destek
361;Sisteminiz risk altında, hemen koruma başlatın.;spam;Teknik Destek
362;Bilgilerinizi doğrulamazsanız sistem kapanacak.;spam;Teknik Destek
363;Güvenlik ihlali tespit edildi, müdahale edin.;spam;Teknik Destek
364;Cihazınıza izinsiz erişim sağlandı.;spam;Teknik Destek
365;Acil teknik destek için bağlantıya tıklayın.;spam;Teknik Destek
366;Sistem hatası bulundu, çözmek için giriş yapın.;spam;Teknik Destek
367;Verileriniz çalınmış olabilir, kontrol edin.;spam;Teknik Destek
368;Bilgisayarınız saldırı altında, hemen işlem yapın.;spam;Teknik Destek
369;Güvenlik açığı bulundu, bilgilerinizi girin.;spam;Teknik Destek
370;Cihazınızı korumak için doğrulama yapın.;spam;Teknik Destek
371;Tehditleri temizlemek için bağlantıya gidin.;spam;Teknik Destek
372;Sisteminiz kapatılmak üzere, hemen müdahale edin.;spam;Teknik Destek
373;Hesabınız ele geçirildi, kurtarmak için giriş yapın.;spam;Teknik Destek
374;Acil güvenlik güncellemesi gerekli.;spam;Teknik Destek
375;Sisteminiz zarar gördü, çözüm için tıklayın.;spam;Teknik Destek
376;Bilgisayarınızı korumak için hemen işlem yapın.;spam;Teknik Destek
377;Güvenlik uyarısı, detaylar için giriş yapın.;spam;Teknik Destek
378;Virüs tespit edildi, temizlemek için tıklayın.;spam;Teknik Destek
379;Cihazınız tehlikede, bilgilerinizi doğrulayın.;spam;Teknik Destek
380;Hesabınız risk altında, hemen giriş yapın.;spam;Teknik Destek
381;Sisteminizde kritik hata oluştu.;spam;Teknik Destek
382;Acil müdahale edilmezse veri kaybı yaşanacak.;spam;Teknik Destek
383;Bilgisayarınız izleniyor, koruma başlatın.;spam;Teknik Destek
384;Tebrikler! Sistemimizde yapılan çekiliş sonucunda büyük ödül kazandınız.;spam;ödül
385;Kazanan kullanıcılar arasına girdiniz, hediyenizi almak için giriş yapın.;spam;ödül
386;Adınıza tanımlanan ödül sizi bekliyor, kaçırmamak için hemen işlem yapın.;spam;ödül
387;Size özel hediye hakkı kazandınız, detaylar için hesabınıza girin.;spam;ödül
388;Çekiliş sonuçlandı, büyük ödülün sahibi sizsiniz.;spam;ödül
389;Sürpriz! Ücretsiz ödül kazandınız, almak için doğrulama yapın.;spam;ödül
390;Kazandığınız ödül için teslimat bilgilerinizi girmeniz gerekiyor.;spam;ödül
391;Hediye çeki kazandınız, kullanmak için hesabınızı aktif edin.;spam;ödül
392;Şanslı kişiler arasına seçildiniz, ödülünüz hazır.;spam;ödül
393;Kazandığınız hediyeyi almak için son gün, hemen işlem yapın.;spam;ödül
